N_Patients,Replication,Solve_Time,Makespan,N_Variables,N_Constraints,Status
10,1,9.616562366485596,687.7789235288127,176,320,Optimal
10,2,14.814166069030762,687.9528195901224,176,320,Optimal
10,3,60.13934111595154,686.4917287521542,176,320,Timeout
10,4,6.614826917648315,687.6957130268255,176,320,Optimal
10,5,1.408282995223999,685.3825925046393,176,320,Optimal
10,6,22.44857096672058,687.9515438181533,176,320,Optimal
10,7,2.28293514251709,686.9389449334984,176,320,Optimal
10,8,7.6424078941345215,686.9565440053096,176,320,Optimal
10,9,24.650707244873047,687.7125839359164,176,320,Optimal
10,10,21.782543897628784,685.9155318791915,176,320,Optimal
20,1,120.15240001678467,1295.7309530810967,651,1240,Timeout
20,2,120.14925289154053,1296.4370768435253,651,1240,Timeout
20,3,120.2181510925293,1297.5365187521543,651,1240,Timeout
20,4,120.1857852935791,1298.1272425498912,651,1240,Timeout
20,5,120.15326404571533,1294.994924107857,651,1240,Timeout
20,6,120.15402293205261,1297.786258695047,651,1240,Timeout
20,7,120.1551878452301,1296.835139881097,651,1240,Timeout
20,8,120.15671920776367,1299.449717877326,651,1240,Timeout
20,9,120.17573404312134,1297.1376556852658,651,1240,Timeout
20,10,120.12675786018372,1296.2603089455038,651,1240,Timeout
30,1,180.17088508605957,1905.9662530810967,1426,2760,Timeout
30,2,180.18970704078674,1905.5344768435252,1426,2760,Timeout
30,3,180.17439484596252,1904.2584730604092,1426,2760,Timeout
30,4,180.16342306137085,1907.0195425498912,1426,2760,Timeout
30,5,180.23470163345337,1927.2585391424811,1426,2760,Timeout
30,6,180.1754539012909,1906.1333586950473,1426,2760,Timeout
30,7,180.14072227478027,1905.689639881097,1426,2760,Timeout
30,8,180.17581987380981,1935.3129341389374,1426,2760,Timeout
30,9,180.18814897537231,1905.650755685266,1426,2760,Timeout
30,10,180.21021914482117,1928.6751089455036,1426,2760,Timeout
