UDS_Scale,CSF_Scale,Is_Baseline,Replication,Method,Expected_Makespan,Overtime_Prob,Error
0.15,0.4,False,1,Stochastic-MILP,684.85,0.09,
0.15,0.4,False,1,LPT,684.7,0.09,
0.15,0.4,False,1,Deterministic,684.7,0.09,
0.15,0.4,False,1,Age-Stratified,690.75,0.14,
0.15,0.4,False,2,Stochastic-MILP,686.0,0.03,
0.15,0.4,False,2,LPT,684.5,0.02,
0.15,0.4,False,2,Deterministic,684.5,0.02,
0.15,0.4,False,2,Age-Stratified,684.5,0.02,
0.15,0.4,False,3,Stochastic-MILP,683.05,0.02,
0.15,0.4,False,3,LPT,683.05,0.02,
0.15,0.4,False,3,Deterministic,683.05,0.04,
0.15,0.4,False,3,Age-Stratified,683.85,0.02,
0.15,0.4,False,4,Stochastic-MILP,684.5,0.03,
0.15,0.4,False,4,LPT,684.5,0.03,
0.15,0.4,False,4,Deterministic,684.5,0.03,
0.15,0.4,False,4,Age-Stratified,688.25,0.07,
0.15,0.4,False,5,Stochastic-MILP,683.7,0.02,
0.15,0.4,False,5,LPT,683.7,0.02,
0.15,0.4,False,5,Deterministic,683.7,0.02,
0.15,0.4,False,5,Age-Stratified,686.15,0.06,
0.15,0.4,False,6,Stochastic-MILP,684.65,0.05,
0.15,0.4,False,6,LPT,684.65,0.05,
0.15,0.4,False,6,Deterministic,684.65,0.06,
0.15,0.4,False,6,Age-Stratified,688.15,0.07,
0.15,0.4,False,7,Stochastic-MILP,683.2,0.02,
0.15,0.4,False,7,LPT,683.2,0.02,
0.15,0.4,False,7,Deterministic,683.2,0.04,
0.15,0.4,False,7,Age-Stratified,685.35,0.04,
0.15,0.4,False,8,Stochastic-MILP,686.05,0.05,
0.15,0.4,False,8,LPT,686.05,0.05,
0.15,0.4,False,8,Deterministic,686.05,0.05,
0.15,0.4,False,8,Age-Stratified,686.5,0.07,
0.15,0.4,False,9,Stochastic-MILP,684.4,0.05,
0.15,0.4,False,9,LPT,684.55,0.05,
0.15,0.4,False,9,Deterministic,684.55,0.06,
0.15,0.4,False,9,Age-Stratified,688.35,0.07,
0.15,0.4,False,10,Stochastic-MILP,684.3,0.01,
0.15,0.4,False,10,LPT,683.25,0.01,
0.15,0.4,False,10,Deterministic,683.25,0.02,
0.15,0.4,False,10,Age-Stratified,683.85,0.01,
0.15,0.4,False,11,Stochastic-MILP,682.6,0.02,
0.15,0.4,False,11,LPT,682.45,0.02,
0.15,0.4,False,11,Deterministic,682.45,0.03,
0.15,0.4,False,11,Age-Stratified,684.45,0.02,
0.15,0.4,False,12,Stochastic-MILP,684.4,0.02,
0.15,0.4,False,12,LPT,684.4,0.02,
0.15,0.4,False,12,Deterministic,684.4,0.03,
0.15,0.4,False,12,Age-Stratified,691.25,0.1,
0.15,0.4,False,13,Stochastic-MILP,684.15,0.04,
0.15,0.4,False,13,LPT,683.85,0.04,
0.15,0.4,False,13,Deterministic,683.85,0.04,
0.15,0.4,False,13,Age-Stratified,685.65,0.06,
0.15,0.4,False,14,Stochastic-MILP,686.55,0.05,
0.15,0.4,False,14,LPT,686.55,0.05,
0.15,0.4,False,14,Deterministic,686.55,0.06,
0.15,0.4,False,14,Age-Stratified,689.0,0.09,
0.15,0.4,False,15,Stochastic-MILP,683.95,0.03,
0.15,0.4,False,15,LPT,683.95,0.03,
0.15,0.4,False,15,Deterministic,683.95,0.03,
0.15,0.4,False,15,Age-Stratified,688.25,0.08,
0.15,0.4,False,16,Stochastic-MILP,683.05,0.02,
0.15,0.4,False,16,LPT,683.05,0.02,
0.15,0.4,False,16,Deterministic,683.05,0.02,
0.15,0.4,False,16,Age-Stratified,686.25,0.07,
0.15,0.4,False,17,Stochastic-MILP,684.6,0.06,
0.15,0.4,False,17,LPT,684.6,0.04,
0.15,0.4,False,17,Deterministic,684.6,0.04,
0.15,0.4,False,17,Age-Stratified,684.6,0.03,
0.15,0.4,False,18,Stochastic-MILP,683.55,0.02,
0.15,0.4,False,18,LPT,683.55,0.02,
0.15,0.4,False,18,Deterministic,683.55,0.03,
0.15,0.4,False,18,Age-Stratified,683.75,0.01,
0.15,0.4,False,19,Stochastic-MILP,685.3,0.03,
0.15,0.4,False,19,LPT,685.3,0.03,
0.15,0.4,False,19,Deterministic,685.3,0.05,
0.15,0.4,False,19,Age-Stratified,687.05,0.07,
0.15,0.4,False,20,Stochastic-MILP,684.55,0.02,
0.15,0.4,False,20,LPT,684.55,0.02,
0.15,0.4,False,20,Deterministic,684.55,0.03,
0.15,0.4,False,20,Age-Stratified,690.3,0.11,
0.15,0.4,False,21,Stochastic-MILP,683.7,0.05,
0.15,0.4,False,21,LPT,683.7,0.05,
0.15,0.4,False,21,Deterministic,683.7,0.05,
0.15,0.4,False,21,Age-Stratified,686.45,0.05,
0.15,0.4,False,22,Stochastic-MILP,687.35,0.05,
0.15,0.4,False,22,LPT,687.35,0.05,
0.15,0.4,False,22,Deterministic,687.35,0.05,
0.15,0.4,False,22,Age-Stratified,689.55,0.08,
0.15,0.4,False,23,Stochastic-MILP,683.55,0.05,
0.15,0.4,False,23,LPT,682.95,0.04,
0.15,0.4,False,23,Deterministic,682.95,0.04,
0.15,0.4,False,23,Age-Stratified,686.0,0.07,
0.15,0.4,False,24,Stochastic-MILP,685.15,0.03,
0.15,0.4,False,24,LPT,685.15,0.03,
0.15,0.4,False,24,Deterministic,685.15,0.05,
0.15,0.4,False,24,Age-Stratified,688.4,0.05,
0.15,0.4,False,25,Stochastic-MILP,683.5,0.03,
0.15,0.4,False,25,LPT,682.0,0.03,
0.15,0.4,False,25,Deterministic,682.0,0.05,
0.15,0.4,False,25,Age-Stratified,687.3,0.07,
0.15,0.4,False,26,Stochastic-MILP,681.7,0.01,
0.15,0.4,False,26,LPT,681.85,0.01,
0.15,0.4,False,26,Deterministic,681.85,0.01,
0.15,0.4,False,26,Age-Stratified,685.55,0.06,
0.15,0.4,False,27,Stochastic-MILP,687.65,0.11,
0.15,0.4,False,27,LPT,687.65,0.11,
0.15,0.4,False,27,Deterministic,687.65,0.12,
0.15,0.4,False,27,Age-Stratified,691.55,0.12,
0.15,0.4,False,28,Stochastic-MILP,681.6,0.02,
0.15,0.4,False,28,LPT,680.65,0.01,
0.15,0.4,False,28,Deterministic,680.65,0.01,
0.15,0.4,False,28,Age-Stratified,684.7,0.05,
0.15,0.4,False,29,Stochastic-MILP,683.8,0.03,
0.15,0.4,False,29,LPT,684.4,0.03,
0.15,0.4,False,29,Deterministic,684.4,0.04,
0.15,0.4,False,29,Age-Stratified,685.2,0.04,
0.15,0.4,False,30,Stochastic-MILP,683.6,0.05,
0.15,0.4,False,30,LPT,683.3,0.02,
0.15,0.4,False,30,Deterministic,683.3,0.02,
0.15,0.4,False,30,Age-Stratified,683.9,0.04,
0.15,0.8,False,1,Stochastic-MILP,687.25,0.08,
0.15,0.8,False,1,LPT,686.35,0.09,
0.15,0.8,False,1,Deterministic,686.35,0.1,
0.15,0.8,False,1,Age-Stratified,692.8,0.16,
0.15,0.8,False,2,Stochastic-MILP,686.1,0.03,
0.15,0.8,False,2,LPT,685.5,0.02,
0.15,0.8,False,2,Deterministic,685.5,0.04,
0.15,0.8,False,2,Age-Stratified,685.5,0.02,
0.15,0.8,False,3,Stochastic-MILP,683.65,0.02,
0.15,0.8,False,3,LPT,683.65,0.02,
0.15,0.8,False,3,Deterministic,683.65,0.04,
0.15,0.8,False,3,Age-Stratified,684.5,0.02,
0.15,0.8,False,4,Stochastic-MILP,685.3,0.03,
0.15,0.8,False,4,LPT,685.3,0.03,
0.15,0.8,False,4,Deterministic,685.3,0.03,
0.15,0.8,False,4,Age-Stratified,689.05,0.08,
0.15,0.8,False,5,Stochastic-MILP,684.35,0.03,
0.15,0.8,False,5,LPT,683.9,0.02,
0.15,0.8,False,5,Deterministic,683.9,0.03,
0.15,0.8,False,5,Age-Stratified,686.45,0.06,
0.15,0.8,False,6,Stochastic-MILP,685.45,0.05,
0.15,0.8,False,6,LPT,685.45,0.05,
