UDS_Scale,CSF_Scale,Method,OT_Mean,OT_Std,Makespan_Mean,Makespan_Std,N,OT_CI95,Is_Baseline
0.15,0.4,Age-Stratified,0.0613,0.031484351157616254,686.83,2.335656273916387,30,0.0113,False
0.15,0.4,Deterministic,0.041,0.022795946403117225,684.11,1.529363927581821,30,0.0082,False
0.15,0.4,LPT,0.0343,0.022234383645425255,684.11,1.529363927581821,30,0.008,False
0.15,0.4,Stochastic-MILP,0.037,0.022306640421555005,684.3,1.4208423921914266,30,0.008,False
0.15,0.8,Age-Stratified,0.0703,0.03652899965906477,687.9,2.6836006863313564,30,0.0131,False
0.15,0.8,Deterministic,0.0517,0.02450662589267805,684.75,1.6704806934312137,30,0.0088,False
0.15,0.8,LPT,0.0367,0.02186689094362136,684.75,1.6704806934312137,30,0.0078,False
0.15,0.8,Stochastic-MILP,0.0387,0.021929877797878514,685.02,1.7770924205747747,30,0.0078,False
0.15,1.2,Age-Stratified,0.0823,0.04746565606569793,688.96,3.0735846195920784,30,0.017,False
0.15,1.2,Deterministic,0.062,0.02893512362700987,685.31,1.7918365329793657,30,0.0104,False
0.15,1.2,LPT,0.0397,0.024422055229017792,685.31,1.7918365329793657,30,0.0087,False
0.15,1.2,Stochastic-MILP,0.0427,0.02347901973712046,685.54,1.7274000461792873,30,0.0084,False
0.3,0.4,Age-Stratified,0.1037,0.04452688713755903,691.16,2.6373619700222246,30,0.0159,False
0.3,0.4,Deterministic,0.0727,0.03310727947178669,688.48,1.7322167048737573,30,0.0118,False
0.3,0.4,LPT,0.024,0.015447352189134953,688.48,1.7322167048737573,30,0.0055,False
0.3,0.4,Stochastic-MILP,0.025,0.016135204603171503,688.72,1.6105435649843949,30,0.0058,False
0.3,0.8,Age-Stratified,0.1137,0.0478130939599498,692.23,2.9563340338230115,30,0.0171,True
0.3,0.8,Deterministic,0.087,0.034255631301467346,689.12,1.8548972149854908,30,0.0123,True
0.3,0.8,LPT,0.0303,0.015862193902556446,689.12,1.8548972149854908,30,0.0057,True
0.3,0.8,Stochastic-MILP,0.0323,0.018510636892363253,689.28,1.7048477196296679,30,0.0066,True
0.3,1.2,Age-Stratified,0.127,0.059140394037379834,693.3,3.3119688904086098,30,0.0212,False
0.3,1.2,Deterministic,0.1027,0.03759432581299116,689.68,1.9650538877112729,30,0.0135,False
0.3,1.2,LPT,0.0327,0.019106477207072158,689.68,1.9650538877112729,30,0.0068,False
0.3,1.2,Stochastic-MILP,0.0337,0.017710961603468637,689.94,1.6258233988160744,30,0.0063,False
0.45,0.4,Age-Stratified,0.149,0.05332722666188703,695.47,2.7068076162269645,30,0.0191,False
0.45,0.4,Deterministic,0.122,0.04596850496019925,692.72,2.109549306335866,30,0.0164,False
0.45,0.4,LPT,0.0317,0.021984843263788204,692.72,2.109549306335866,30,0.0079,False
0.45,0.4,Stochastic-MILP,0.0343,0.021764148522732063,692.9,1.9821618292262004,30,0.0078,False
0.45,0.8,Age-Stratified,0.163,0.057843427188968656,696.54,3.0079535373337367,30,0.0207,False
0.45,0.8,Deterministic,0.1373,0.048844110458035585,693.35,2.2009539467835544,30,0.0175,False
0.45,0.8,LPT,0.0357,0.021444930810596344,693.35,2.2009539467835544,30,0.0077,False
0.45,0.8,Stochastic-MILP,0.039,0.019537761845488714,693.57,2.105808196612295,30,0.007,False
0.45,1.2,Age-Stratified,0.1793,0.06580710229636068,697.6,3.3596870578130806,30,0.0235,False
0.45,1.2,Deterministic,0.1533,0.050469064155991734,693.92,2.3005302986860365,30,0.0181,False
0.45,1.2,LPT,0.038,0.0251066689862715,693.92,2.3005302986860365,30,0.009,False
0.45,1.2,Stochastic-MILP,0.0427,0.024765567494675608,694.15,1.9834871475176827,30,0.0089,False
